BasinID2,yrs,SSP126,SSP245,SSP585
3646801,1900,-0.138947679311156,-0.138947679311156,-0.138947679311156
3646801,1950,-0.116227914955094,-0.116227914955094,-0.116227914955094
3646801,2000,0,0,0
3646801,2050,0.174,0.181,0.207
3646801,2100,0.422,0.511,0.808
3646801,2150,0.71,0.9005,2.037
3646801,2200,0.998,1.29,3.266
3646801,2250,1.27,1.624,4.271
3646801,2300,1.542,1.958,5.276
3173581,1900,-0.214198335661062,-0.214198335661062,-0.214198335661062
3173581,1950,-0.153793568317415,-0.153793568317415,-0.153793568317415
3173581,2000,0,0,0
3173581,2050,0.144,0.15,0.171
3173581,2100,0.359,0.442,0.722
3173581,2150,0.6125,0.791,1.891
3173581,2200,0.866,1.14,3.06
3173581,2250,1.1035,1.44,4.0145
3173581,2300,1.341,1.74,4.969
2823791,1900,-0.187442635641631,-0.187442635641631,-0.187442635641631
2823791,1950,-0.144941688573919,-0.144941688573919,-0.144941688573919
2823791,2000,0,0,0
2823791,2050,0.121,0.125,0.145
2823791,2100,0.318,0.395,0.666
2823791,2150,0.5565,0.7225,1.807
2823791,2200,0.795,1.05,2.948
2823791,2250,1.015,1.332,3.8805
2823791,2300,1.235,1.614,4.813
4056471,1900,-0.0347967163813896,-0.0347967163813896,-0.0347967163813896
4056471,1950,-0.0756148171798968,-0.0756148171798968,-0.0756148171798968
4056471,2000,0,0,0
4056471,2050,0.197,0.205,0.234
4056471,2100,0.446,0.538,0.852
4056471,2150,0.75,0.938,2.101
4056471,2200,1.054,1.338,3.35
4056471,2250,1.345,1.675,4.376
4056471,2300,1.636,2.012,5.402
4346011,1900,-0.111883623989936,-0.111883623989936,-0.111883623989936
4346011,1950,-0.053874987845061,-0.053874987845061,-0.053874987845061
4346011,2000,0,0,0
4346011,2050,0.337,0.352,0.377
4346011,2100,0.708,0.813,1.144
4346011,2150,1.115,1.36,2.526
4346011,2200,1.522,1.907,3.908
4346011,2250,1.9085,2.391,5.057
4346011,2300,2.295,2.875,6.206
4289641,1900,-0.103076242527468,-0.103076242527468,-0.103076242527468
4289641,1950,-0.045419750005934,-0.045419750005934,-0.045419750005934
4289641,2000,0,0,0
4289641,2050,0.459,0.474,0.499
4289641,2100,0.965,1.072,1.401
4289641,2150,1.506,1.754,2.916
4289641,2200,2.047,2.436,4.431
4289641,2250,2.568,3.056,5.7125
4289641,2300,3.089,3.676,6.994
4301321,1900,-0.103076242527468,-0.103076242527468,-0.103076242527468
4301321,1950,-0.045419750005934,-0.045419750005934,-0.045419750005934
4301321,2000,0,0,0
4301321,2050,0.518,0.532,0.558
4301321,2100,1.088,1.198,1.527
4301321,2150,1.6945,1.9465,3.112
4301321,2200,2.301,2.695,4.697
4301321,2250,2.8875,3.381,6.048
4301321,2300,3.474,4.067,7.399
4281751,1900,-0.103076242527468,-0.103076242527468,-0.103076242527468
4281751,1950,-0.045419750005934,-0.045419750005934,-0.045419750005934
4281751,2000,0,0,0
4281751,2050,0.502,0.517,0.543
4281751,2100,1.052,1.164,1.496
4281751,2150,1.6395,1.8965,3.0695
4281751,2200,2.227,2.629,4.643
4281751,2250,2.794,3.298,5.982
4281751,2300,3.361,3.967,7.321
4165211,1900,-0.0926632490476734,-0.0926632490476734,-0.0926632490476734
4165211,1950,-0.0369882755278724,-0.0369882755278724,-0.0369882755278724
4165211,2000,0,0,0
4165211,2050,0.401,0.415,0.442
4165211,2100,0.841,0.95,1.277
4165211,2150,1.3135,1.5665,2.724
4165211,2200,1.786,2.183,4.171
4165211,2250,2.238,2.738,5.3845
4165211,2300,2.69,3.293,6.598
4120201,1900,-0.116279780362028,-0.116279780362028,-0.116279780362028
4120201,1950,-0.0476958167527922,-0.0476958167527922,-0.0476958167527922
4120201,2000,0,0,0
4120201,2050,0.482,0.496,0.525
4120201,2100,1.012,1.126,1.451
4120201,2150,1.5745,1.836,2.9945
4120201,2200,2.137,2.546,4.538
4120201,2250,2.678,3.1935,5.845
4120201,2300,3.219,3.841,7.152
4267691,1900,-0.116279780362028,-0.116279780362028,-0.116279780362028
4267691,1950,-0.0476958167527922,-0.0476958167527922,-0.0476958167527922
4267691,2000,0,0,0
4267691,2050,0.484,0.498,0.528
4267691,2100,1.018,1.133,1.464
4267691,2150,1.585,1.8495,3.027
4267691,2200,2.152,2.566,4.59
4267691,2250,2.698,3.2195,5.9145
4267691,2300,3.244,3.873,7.239
4088521,1900,-0.134176215409499,-0.134176215409499,-0.134176215409499
4088521,1950,-0.0773511200216378,-0.0773511200216378,-0.0773511200216378
4088521,2000,0,0,0
4088521,2050,0.395,0.409,0.438
4088521,2100,0.826,0.942,1.268
4088521,2150,1.2905,1.556,2.7215
4088521,2200,1.755,2.17,4.175
4088521,2250,2.198,2.722,5.3905
4088521,2300,2.641,3.274,6.606
4073471,1900,-0.134176215409499,-0.134176215409499,-0.134176215409499
4073471,1950,-0.0773511200216378,-0.0773511200216378,-0.0773511200216378
4073471,2000,0,0,0
4073471,2050,0.266,0.28,0.308
4073471,2100,0.552,0.667,0.988
4073471,2150,0.868,1.1325,2.281
4073471,2200,1.184,1.598,3.574
