Dvina	64.569   40.548	Gan-Brah	23.225   90.633	MacKenzie	69.450 -134.150	Mekong	9.617  106.250	Miss	29.113  -89.263	Niger	4.396    6.070	Nile	31.446   30.387	Parana	-92.454	Waipaoa	-38.708  177.940	Yellow	37.771  119.180	Ganges	22.312   91.001	Song Hong	20.262  106.575	Po	44.908   12.480	Rhine Meuse	52.005    4.082	Tama	35.630  139.798	Trinity	29.780  -94.733
-12	-27.478	-12	-43.708	-12	-112.727	-12	-39.438	-12	-66.861	-12	-55.098	-12	-55.848	-12	-37.883	-12	-44.263	-12	-44.131	-12	-45.721	-12	-44.794	-12	-46.682	-12	-46.087	-12	-47.177	-12	-57.505
-11.75	-29.168	-11.75	-42.824	-11.75	-105.819	-11.75	-38.643	-11.75	-65.175	-11.75	-53.864	-11.75	-54.763	-11.75	-37.106	-11.75	-43.425	-11.75	-43.198	-11.75	-44.798	-11.75	-43.929	-11.75	-45.74	-11.75	-44.799	-11.75	-46.238	-11.75	-56.037
-11.5	-30.629	-11.5	-41.63	-11.5	-99.525	-11.5	-37.53	-11.5	-63.411	-11.5	-52.356	-11.5	-53.419	-11.5	-35.992	-11.5	-42.249	-11.5	-41.958	-11.5	-43.565	-11.5	-42.744	-11.5	-44.593	-11.5	-43.408	-11.5	-44.956	-11.5	-54.495
-11.25	-30.753	-11.25	-38.998	-11.25	-93.862	-11.25	-34.987	-11.25	-61.256	-11.25	-49.548	-11.25	-50.84	-11.25	-33.297	-11.25	-39.599	-11.25	-39.255	-11.25	-40.888	-11.25	-40.095	-11.25	-42.51	-11.25	-41.347	-11.25	-42.116	-11.25	-52.575
-11	-30.278	-11	-36.43	-11	-88.489	-11	-32.531	-11	-59.139	-11	-46.798	-11	-48.297	-11	-30.68	-11	-36.995	-11	-36.63	-11	-38.271	-11	-37.513	-11	-40.483	-11	-39.291	-11	-39.358	-11	-50.701
-10.75	-29.236	-10.75	-33.9	-10.75	-83.369	-10.75	-30.111	-10.75	-57.022	-10.75	-44.077	-10.75	-45.757	-10.75	-28.106	-10.75	-34.439	-10.75	-34.044	-10.75	-35.689	-10.75	-34.967	-10.75	-38.449	-10.75	-37.181	-10.75	-36.651	-10.75	-48.83
-10.5	-27.632	-10.5	-31.451	-10.5	-78.564	-10.5	-27.787	-10.5	-54.971	-10.5	-41.43	-10.5	-43.244	-10.5	-25.632	-10.5	-31.97	-10.5	-31.553	-10.5	-33.186	-10.5	-32.505	-10.5	-36.405	-10.5	-35.031	-10.5	-34.047	-10.5	-47.032
-10.25	-25.635	-10.25	-28.855	-10.25	-73.929	-10.25	-25.302	-10.25	-52.798	-10.25	-38.623	-10.25	-40.582	-10.25	-23.01	-10.25	-29.335	-10.25	-28.908	-10.25	-30.537	-10.25	-29.887	-10.25	-34.265	-10.25	-32.815	-10.25	-31.29	-10.25	-45.118
-10	-21.661	-10	-25.309	-10	-69.507	-10	-21.792	-10	-50.31	-10	-34.809	-10	-36.804	-10	-19.428	-10	-25.583	-10	-25.281	-10	-26.919	-10	-26.299	-10	-31.005	-10	-29.353	-10	-27.491	-10	-42.897
-9.75	-17.836	-9.75	-21.836	-9.75	-65.101	-9.75	-18.388	-9.75	-47.825	-9.75	-31.086	-9.75	-33.1	-9.75	-15.959	-9.75	-21.952	-9.75	-21.752	-9.75	-23.388	-9.75	-22.777	-9.75	-27.928	-9.75	-26.109	-9.75	-23.812	-9.75	-40.684
-9.5	-13.871	-9.5	-18.289	-9.5	-60.374	-9.5	-14.977	-9.5	-45.08	-9.5	-27.347	-9.5	-29.337	-9.5	-12.5	-9.5	-18.401	-9.5	-18.207	-9.5	-19.788	-9.5	-19.193	-9.5	-24.784	-9.5	-22.819	-9.5	-20.091	-9.5	-38.225
-9.25	-10.776	-9.25	-15.861	-9.25	-55.614	-9.25	-12.722	-9.25	-42.552	-9.25	-24.643	-9.25	-26.567	-9.25	-10.269	-9.25	-16.064	-9.25	-15.791	-9.25	-17.301	-9.25	-16.73	-9.25	-22.457	-9.25	-20.302	-9.25	-17.582	-9.25	-35.987
-9	-7.286	-9	-12.831	-9	-50.756	-9	-9.859	-9	-39.62	-9	-21.344	-9	-23.213	-9	-7.491	-9	-13.128	-9	-12.735	-9	-14.207	-9	-13.625	-9	-19.555	-9	-17.338	-9	-14.401	-9	-33.339
-8.75	-3.871	-8.75	-10.187	-8.75	-44.679	-8.75	-7.277	-8.75	-35.752	-8.75	-18.202	-8.75	-20.033	-8.75	-5.407	-8.75	-10.58	-8.75	-10.123	-8.75	-11.503	-8.75	-10.881	-8.75	-16.575	-8.75	-14.097	-8.75	-11.587	-8.75	-29.793
-8.5	-0.54	-8.5	-7.501	-8.5	-38.989	-8.5	-4.653	-8.5	-31.857	-8.5	-15.016	-8.5	-16.809	-8.5	-3.299	-8.5	-8.014	-8.5	-7.419	-8.5	-8.744	-8.5	-8.077	-8.5	-13.538	-8.5	-10.827	-8.5	-8.72	-8.5	-26.231
-8.25	1.675	-8.25	-5.779	-8.25	-34.794	-8.25	-3.074	-8.25	-29.125	-8.25	-12.842	-8.25	-14.561	-8.25	-1.964	-8.25	-6.398	-8.25	-5.659	-8.25	-6.981	-8.25	-6.253	-8.25	-11.526	-8.25	-8.656	-8.25	-6.899	-8.25	-23.826
-8	3.495	-8	-4.343	-8	-31.137	-8	-1.786	-8	-26.734	-8	-10.963	-8	-12.596	-8	-0.935	-8	-5.003	-8	-4.204	-8	-5.478	-8	-4.742	-8	-9.794	-8	-6.792	-8	-5.389	-8	-21.751
-7.75	4.695	-7.75	-3.432	-7.75	-28.215	-7.75	-1.111	-7.75	-24.943	-7.75	-9.648	-7.75	-11.185	-7.75	-0.326	-7.75	-4.129	-7.75	-3.259	-7.75	-4.51	-7.75	-3.758	-7.75	-8.609	-7.75	-5.506	-7.75	-4.451	-7.75	-20.264
-7.5	5.67	-7.5	-2.626	-7.5	-25.666	-7.5	-0.492	-7.5	-23.333	-7.5	-8.458	-7.5	-9.903	-7.5	0.218	-7.5	-3.325	-7.5	-2.42	-7.5	-3.64	-7.5	-2.879	-7.5	-7.554	-7.5	-4.397	-7.5	-3.619	-7.5	-18.943
