Dvina 		Ganges-Brahmaputra		MacKenzie		Mekong		Mississippi		Niger		Nile		Parana		Waipaoa		Yellow
   -26.000    60.318		   -26.000  -106.909		   -26.000   -63.951		   -26.000  -107.780		   -26.000   -96.762		   -26.000  -117.412		   -26.000  -114.905		   -26.000  -106.409		   -26.000  -122.199		   -26.000  -107.507
   -25.000    39.170		   -25.000  -101.153		   -25.000   -61.563		   -25.000  -101.498		   -25.000   -97.565		   -25.000  -112.838		   -25.000  -112.341		   -25.000   -99.319		   -25.000  -116.399		   -25.000  -101.727
   -24.000     6.104		   -24.000   -95.838		   -24.000   -60.460		   -24.000   -95.894		   -24.000   -97.001		   -24.000  -108.119		   -24.000  -108.793		   -24.000   -93.303		   -24.000  -110.872		   -24.000   -96.476
   -23.000   -15.471		   -23.000   -92.476		   -23.000   -60.454		   -23.000   -92.613		   -23.000   -97.355		   -23.000  -105.267		   -23.000  -106.087		   -23.000   -89.910		   -23.000  -107.561		   -23.000   -93.097
   -22.000   -25.541		   -22.000   -89.470		   -22.000   -61.617		   -22.000   -89.724		   -22.000   -97.144		   -22.000  -102.610		   -22.000  -103.308		   -22.000   -86.928		   -22.000  -104.427		   -22.000   -90.104
   -21.000   -21.093		   -21.000   -87.747		   -21.000   -60.745		   -21.000   -88.048		   -21.000   -97.061		   -21.000  -101.096		   -21.000  -101.795		   -21.000   -85.212		   -21.000  -102.666		   -21.000   -88.289
   -20.000    -6.098		   -20.000   -85.964		   -20.000   -59.696		   -20.000   -86.271		   -20.000   -96.238		   -20.000   -99.443		   -20.000  -100.267		   -20.000   -83.368		   -20.000  -100.735		   -20.000   -86.462
   -19.000     7.670		   -19.000   -84.231		   -19.000   -58.602		   -19.000   -84.540		   -19.000   -95.307		   -19.000   -97.729		   -19.000   -98.611		   -19.000   -81.616		   -19.000   -98.811		   -19.000   -84.716
   -18.000    20.976		   -18.000   -81.911		   -18.000   -56.940		   -18.000   -82.188		   -18.000   -93.978		   -18.000   -95.386		   -18.000   -96.451		   -18.000   -79.447		   -18.000   -96.185		   -18.000   -82.396
   -17.000    22.816		   -17.000   -79.333		   -17.000   -57.452		   -17.000   -79.498		   -17.000   -91.924		   -17.000   -92.637		   -17.000   -94.268		   -17.000   -76.844		   -17.000   -93.233		   -17.000   -79.803
   -16.500    23.608		   -16.500   -77.619		   -16.500   -58.189		   -16.500   -77.782		   -16.500   -90.683		   -16.500   -90.817		   -16.500   -92.430		   -16.500   -75.497		   -16.500   -91.212		   -16.500   -78.167
   -16.000    19.565		   -16.000   -75.753		   -16.000   -58.720		   -16.000   -75.893		   -16.000   -89.182		   -16.000   -88.810		   -16.000   -90.470		   -16.000   -73.895		   -16.000   -88.995		   -16.000   -76.370
   -15.500    18.173		   -15.500   -71.626		   -15.500   -62.978		   -15.500   -71.841		   -15.500   -87.573		   -15.500   -84.775		   -15.500   -86.498		   -15.500   -69.433		   -15.500   -84.403		   -15.500   -72.321
   -15.000    12.623		   -15.000   -68.862		   -15.000   -64.683		   -15.000   -68.977		   -15.000   -84.880		   -15.000   -81.779		   -15.000   -83.921		   -15.000   -66.324		   -15.000   -81.206		   -15.000   -69.586
   -14.750    11.087		   -14.750   -66.981		   -14.750   -66.993		   -14.750   -67.136		   -14.750   -83.702		   -14.750   -79.873		   -14.750   -82.023		   -14.750   -64.355		   -14.750   -79.121		   -14.750   -67.727
   -14.500     9.696		   -14.500   -65.170		   -14.500   -69.559		   -14.500   -65.366		   -14.500   -82.509		   -14.500   -78.019		   -14.500   -80.165		   -14.500   -62.470		   -14.500   -77.105		   -14.500   -65.929
   -14.250    10.349		   -14.250   -54.190		   -14.250   -78.295		   -14.250   -54.415		   -14.250   -77.759		   -14.250   -67.454		   -14.250   -70.116		   -14.250   -50.621		   -14.250   -65.138		   -14.250   -55.069
   -14.000    10.923		   -14.000   -43.391		   -14.000   -86.489		   -14.000   -43.633		   -14.000   -72.568		   -14.000   -56.918		   -14.000   -60.000		   -14.000   -39.270		   -14.000   -53.323		   -14.000   -44.354
   -13.750     9.182		   -13.750   -40.557		   -13.750   -89.765		   -13.750   -40.890		   -13.750   -70.400		   -13.750   -53.865		   -13.750   -56.818		   -13.750   -36.485		   -13.750   -50.134		   -13.750   -41.493
   -13.500     7.515		   -13.500   -37.781		   -13.500   -92.738		   -13.500   -38.189		   -13.500   -68.190		   -13.500   -50.860		   -13.500   -53.681		   -13.500   -33.745		   -13.500   -46.981		   -13.500   -38.693
