Dvina          64.569   40.548		Gan-Brah       23.225   90.633		MacKenzie      69.450 -134.150		Mekong          9.617  106.250		Miss           29.113  -89.263		Niger           4.396    6.070		Nile           31.446   30.387		Parana        -33.933  -58.521		Waipaoa       -38.708  177.940		Yellow         37.771  119.180		Ganges         22.312   91.001		Song Hong      20.262  106.575		Po             44.908   12.480		Rhine Meuse    52.005    4.082		Tama           35.630  139.798		Trinity        29.780  -94.733
   -12.000    -5.424		   -12.000   -26.643		   -12.000   -93.885		   -12.000   -27.204		   -12.000   -55.393		   -12.000   -37.979		   -12.000   -40.388		   -12.000   -22.921		   -12.000   -33.929		   -12.000   -27.360		   -12.000   -28.750		   -12.000   -28.500		   -12.000   -36.636		   -12.000   -48.604		   -12.000   -30.946		   -12.000   -47.842
   -11.750    -6.322		   -11.750   -24.485		   -11.750   -92.669		   -11.750   -25.085		   -11.750   -53.327		   -11.750   -35.626		   -11.750   -37.924		   -11.750   -20.776		   -11.750   -31.530		   -11.750   -25.165		   -11.750   -26.536		   -11.750   -26.354		   -11.750   -34.380		   -11.750   -46.023		   -11.750   -28.443		   -11.750   -45.932
   -11.500    -7.067		   -11.500   -22.359		   -11.500   -91.108		   -11.500   -22.982		   -11.500   -51.249		   -11.500   -33.291		   -11.500   -35.482		   -11.500   -18.663		   -11.500   -29.153		   -11.500   -23.000		   -11.500   -24.355		   -11.500   -24.225		   -11.500   -32.166		   -11.500   -43.487		   -11.500   -25.978		   -11.500   -44.012
   -11.250    -6.771		   -11.250   -18.214		   -11.250   -86.958		   -11.250   -18.689		   -11.250   -46.686		   -11.250   -28.815		   -11.250   -31.156		   -11.250   -14.751		   -11.250   -24.754		   -11.250   -18.827		   -11.250   -20.134		   -11.250   -19.986		   -11.250   -28.177		   -11.250   -39.281		   -11.250   -21.244		   -11.250   -39.648
   -11.000    -6.184		   -11.000   -14.007		   -11.000   -82.594		   -11.000   -14.332		   -11.000   -42.075		   -11.000   -24.262		   -11.000   -26.740		   -11.000   -10.755		   -11.000   -20.270		   -11.000   -14.575		   -11.000   -15.848		   -11.000   -15.670		   -11.000   -24.104		   -11.000   -35.021		   -11.000   -16.453		   -11.000   -35.260
   -10.750    -6.665		   -10.750   -12.079		   -10.750   -80.101		   -10.750   -12.379		   -10.750   -39.735		   -10.750   -22.020		   -10.750   -24.454		   -10.750    -8.851		   -10.750   -18.026		   -10.750   -12.614		   -10.750   -13.851		   -10.750   -13.697		   -10.750   -22.073		   -10.750   -32.703		   -10.750   -14.179		   -10.750   -33.122
   -10.500    -6.931		   -10.500   -10.287		   -10.500   -77.527		   -10.500   -10.588		   -10.500   -37.524		   -10.500   -19.925		   -10.500   -22.279		   -10.500    -7.095		   -10.500   -15.928		   -10.500   -10.814		   -10.500   -11.996		   -10.500   -11.868		   -10.500   -20.098		   -10.500   -30.415		   -10.500   -12.081		   -10.500   -31.118
   -10.250    -7.474		   -10.250    -8.462		   -10.250   -74.761		   -10.250    -8.721		   -10.250   -35.229		   -10.250   -17.794		   -10.250   -20.132		   -10.250    -5.282		   -10.250   -13.791		   -10.250    -8.935		   -10.250   -10.105		   -10.250    -9.985		   -10.250   -18.234		   -10.250   -28.339		   -10.250    -9.926		   -10.250   -29.035
   -10.000    -7.823		   -10.000    -6.719		   -10.000   -71.873		   -10.000    -6.937		   -10.000   -32.982		   -10.000   -15.743		   -10.000   -18.064		   -10.000    -3.569		   -10.000   -11.736		   -10.000    -7.138		   -10.000    -8.290		   -10.000    -8.180		   -10.000   -16.444		   -10.000   -26.323		   -10.000    -7.871		   -10.000   -26.998
    -9.750    -7.524		    -9.750    -5.010		    -9.750   -68.868		    -9.750    -5.196		    -9.750   -30.743		    -9.750   -13.738		    -9.750   -15.985		    -9.750    -1.897		    -9.750    -9.740		    -9.750    -5.392		    -9.750    -6.522		    -9.750    -6.412		    -9.750   -14.565		    -9.750   -24.145		    -9.750    -5.876		    -9.750   -24.964
    -9.500    -7.090		    -9.500    -3.357		    -9.500   -65.927		    -9.500    -3.514		    -9.500   -28.540		    -9.500   -11.781		    -9.500   -13.947		    -9.500    -0.315		    -9.500    -7.783		    -9.500    -3.687		    -9.500    -4.790		    -9.500    -4.694		    -9.500   -12.726		    -9.500   -22.008		    -9.500    -3.952		    -9.500   -22.974
    -9.250    -6.732		    -9.250    -2.495		    -9.250   -62.744		    -9.250    -2.633		    -9.250   -26.660		    -9.250   -10.561		    -9.250   -12.591		    -9.250     0.413		    -9.250    -6.664		    -9.250    -2.787		    -9.250    -3.856		    -9.250    -3.799		    -9.250   -11.412		    -9.250   -20.269		    -9.250    -2.888		    -9.250   -21.300
    -9.000    -6.145		    -9.000    -1.445		    -9.000   -59.655		    -9.000    -1.571		    -9.000   -24.823		    -9.000    -9.198		    -9.000   -11.091		    -9.000     1.361		    -9.000    -5.361		    -9.000    -1.695		    -9.000    -2.737		    -9.000    -2.700		    -9.000    -9.997		    -9.000   -18.478		    -9.000    -1.643		    -9.000   -19.669
    -8.750    -5.420		    -8.750    -0.219		    -8.750   -56.463		    -8.750    -0.360		    -8.750   -22.913		    -8.750    -7.683		    -8.750    -9.470		    -8.750     2.514		    -8.750    -3.890		    -8.750    -0.410		    -8.750    -1.439		    -8.750    -1.415		    -8.750    -8.521		    -8.750   -16.682		    -8.750    -0.209		    -8.750   -17.959
    -8.500    -4.658		    -8.500     0.953		    -8.500   -53.352		    -8.500     0.848		    -8.500   -21.046		    -8.500    -6.221		    -8.500    -7.915		    -8.500     3.591		    -8.500    -2.482		    -8.500     0.796		    -8.500    -0.194		    -8.500    -0.177		    -8.500    -7.107		    -8.500   -14.946		    -8.500     1.132		    -8.500   -16.291
    -8.250    -3.979		    -8.250     1.905		    -8.250   -49.984		    -8.250     1.851		    -8.250   -19.158		    -8.250    -4.952		    -8.250    -6.571		    -8.250     4.416		    -8.250    -1.338		    -8.250     1.803		    -8.250     0.831		    -8.250     0.846		    -8.250    -5.876		    -8.250   -13.379		    -8.250     2.283		    -8.250   -14.601
    -8.000    -3.312		    -8.000     2.797		    -8.000   -46.777		    -8.000     2.805		    -8.000   -17.366		    -8.000    -3.750		    -8.000    -5.300		    -8.000     5.217		    -8.000    -0.255		    -8.000     2.756		    -8.000     1.799		    -8.000     1.810		    -8.000    -4.726		    -8.000   -11.908		    -8.000     3.356		    -8.000   -13.003
    -7.500    -1.663		    -7.500     4.233		    -7.500   -40.393		    -7.500     4.371		    -7.500   -14.130		    -7.500    -1.689		    -7.500    -2.993		    -7.500     6.367		    -7.500     1.547		    -7.500     4.316		    -7.500     3.390		    -7.500     3.364		    -7.500    -2.470		    -7.500    -8.849		    -7.500     5.083		    -7.500   -10.134
    -7.000    -0.773		    -7.000     4.636		    -7.000   -34.691		    -7.000     4.881		    -7.000   -11.510		    -7.000    -0.599		    -7.000    -1.705		    -7.000     6.473		    -7.000     2.361		    -7.000     4.773		    -7.000     3.920		    -7.000     3.870		    -7.000    -1.128		    -7.000    -6.696		    -7.000     5.632		    -7.000    -7.899
    -6.500    -0.196		    -6.500     4.478		    -6.500   -29.634		    -6.500     4.803		    -6.500    -9.347		    -6.500    -0.072		    -6.500    -0.954		    -6.500     5.997		    -6.500     2.613		    -6.500     4.622		    -6.500     3.875		    -6.500     3.796		    -6.500    -0.250		    -6.500    -4.985		    -6.500     5.503		    -6.500    -6.122
    -6.000     0.035		    -6.000     4.082		    -6.000   -25.472		    -6.000     4.443		    -6.000    -7.822		    -6.000     0.117		    -6.000    -0.573		    -6.000     5.412		    -6.000     2.592		    -6.000     4.227		    -6.000     3.580		    -6.000     3.474		    -6.000     0.165		    -6.000    -3.849		    -6.000     5.077		    -6.000    -4.956
    -5.500     0.082		    -5.500     3.464		    -5.500   -21.768		    -5.500     3.814		    -5.500    -6.571		    -5.500     0.031		    -5.500    -0.480		    -5.500     4.552		    -5.500     2.276		    -5.500     3.562		    -5.500     3.026		    -5.500     2.891		    -5.500     0.326		    -5.500    -3.003		    -5.500     4.350		    -5.500    -4.050
    -5.000     0.155		    -5.000     2.961		    -5.000   -18.446		    -5.000     3.305		    -5.000    -5.457		    -5.000     0.005		    -5.000    -0.365		    -5.000     3.851		    -5.000     2.024		    -5.000     3.027		    -5.000     2.593		    -5.000     2.454		    -5.000     0.461		    -5.000    -2.277		    -5.000     3.746		    -5.000    -3.257
    -4.500     0.189		    -4.500     2.514		    -4.500   -15.516		    -4.500     2.843		    -4.500    -4.491		    -4.500    -0.015		    -4.500    -0.277		    -4.500     3.244		    -4.500     1.786		    -4.500     2.545		    -4.500     2.208		    -4.500     2.060		    -4.500     0.529		    -4.500    -1.695		    -4.500     3.191		    -4.500    -2.590
    -4.000     0.268		    -4.000     2.167		    -4.000   -12.786		    -4.000     2.478		    -4.000    -3.584		    -4.000     0.029		    -4.000    -0.151		    -4.000     2.767		    -4.000     1.605		    -4.000     2.171		    -4.000     1.917		    -4.000     1.794		    -4.000     0.612		    -4.000    -1.162		    -4.000     2.747		    -4.000    -1.964
