BasinID2,name,subs_mm_y,note
540974,Amazon,-1.2,
271226,Amur,1,
866167,Burdekin,-1.5,
4056471,Colorado,6.3,
1086772,Congo,1,
3279946,Chao Phraya,1.5,
1832055,Danube,1.6,
1610345,Dnieper,2.5,
2433835,Ebro,2.6,
7126506,Fly,1,
2259146,Ganges,3,
2996486,Godavari,7.1,
995653,Grijalva,2.5,
1024726,Han,1,
2180336,Indus,2.3,
3032116,Irrawaddy,-1.5,
3117246,Krishna,7.9,
3648,Lena,-1.3,
1548922,Limpopo,1,
2528,Mackenzie,0.4,
94474,Magdelena,1.2,
5491396,Mahakam,-0.5,
2763826,Mahanadi,3.6,
4050686,Mekong,11,
4267691,Mississippi,9,Nienhuis 2017
86102,Moulouya,2.6,
908572,Niger,4.4,
200412,Nile,3.9,
268554,Orinoco,2.5,
1210764,Parana,1.9,
2372006,Pearl,2.5,
1873515,Po,6,Not in Nicholls
2765116,Red,-1.2,
224773,Rio Grande,4.6,
1248635,Rhine,1,
2098785,Rhone,1,
102592,Sebou,0,
472622,Senegal,2.3,
841614,São Francisco,2.9,
1031452,Tana,1,
3355105,Tigris Euphrates,3.6,
1182586,Tone,1,
962135,Vistula,1,
1743925,Volga,1,Not in Nicholls
811472,Volta,2.5,
1780166,Yangtze,2.1,
1005716,Yellow,1.8,
1258,Yukon,-1.5,
1416812,Zambezi,1,
