DOY,Qs
1.40E+02,3.64E-02
1.42E+02,2.91E-01
1.43E+02,-1.78E+00
1.44E+02,7.64E-01
1.45E+02,2.38E+01
1.46E+02,4.69E+01
1.46E+02,6.53E+01
1.47E+02,7.92E+01
1.48E+02,6.09E+01
1.48E+02,2.45E+01
1.50E+02,1.57E+01
1.51E+02,2.96E+01
1.52E+02,8.70E+01
1.53E+02,1.53E+02
1.53E+02,2.43E+02
1.53E+02,3.76E+02
1.54E+02,6.73E+02
1.55E+02,3.35E+02
1.56E+02,1.02E+02
1.58E+02,4.92E+01
1.60E+02,1.07E+02
1.61E+02,2.56E+02
1.61E+02,6.56E+02
1.61E+02,6.91E+02
1.63E+02,1.33E+03
1.64E+02,1.18E+03
1.64E+02,9.84E+02
1.65E+02,7.85E+02
1.69E+02,3.72E+02
1.71E+02,2.48E+02
1.72E+02,1.66E+02
1.73E+02,4.18E+02
1.74E+02,4.16E+02
1.75E+02,1.56E+02
1.77E+02,6.89E+01
1.78E+02,1.22E+02
1.79E+02,1.17E+02
1.80E+02,4.89E+01
1.81E+02,2.63E+01
1.85E+02,6.35E+01
1.89E+02,3.91E+01
1.90E+02,5.31E+01
1.92E+02,2.14E+01
1.92E+02,3.98E+01
1.96E+02,9.08E+01
1.97E+02,1.12E+02
1.97E+02,1.32E+02
1.98E+02,8.21E+01
2.00E+02,3.67E+01
2.02E+02,2.11E+01
2.05E+02,1.27E+02
2.05E+02,8.34E+01
2.06E+02,6.76E+01
2.07E+02,2.66E+01
2.08E+02,6.80E+01
2.10E+02,3.41E+01
2.12E+02,1.49E+02
2.14E+02,1.90E+02
2.14E+02,1.40E+02
2.16E+02,5.81E+01
2.17E+02,8.34E+01
2.19E+02,4.55E+02
2.20E+02,3.33E+02
2.22E+02,5.47E+01
2.24E+02,4.82E+01
2.26E+02,2.56E+01
2.28E+02,1.92E+01
2.30E+02,4.02E+01
2.32E+02,1.30E+02
2.34E+02,6.60E+01
2.35E+02,1.19E+02
2.37E+02,7.81E+01
2.40E+02,3.75E+01
2.42E+02,4.94E+01
2.48E+02,3.60E+02
2.50E+02,5.31E+01
2.53E+02,3.30E+01
